,讲座标题,报告人,时间,地点,大学,通知全文链接,通知发布时间,通知内容,报告人简介
15,"
                        讲座：Estimating Search Models with Panel Data: Identification and Re-Examination of Preference Heterogeneity",Presenter:Prof.XiaojingDong,"Talk Time: Nov 21st, 3 PM-4 PM, Thursday",Location:SEIEE3-306,上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=406,"
                    发布时间：2019-11-19","Abstract:In online shopping platform, not only the purchaseinformation, but also the clicked pages can be convenientlyrecorded. It is a common practice to examine only thosepurchased when inferring the consumer's preference and tastes. In this study, we proposeda structural model approach to dive deeper into such question leveraging the click streamdata.A structural model approachallows us to examinethe decisionprocess at individualconsumer level,and obtain inferences foreach,including his/her preference and searchcost. Using a unique data-set from an online retailer that contains panel information onwhen ignoring search costs,we overestimate consumerspreferenceheterogeneity by40%. Using the example of personalized pricing, we show that this bias has importantconsequences fortargeted marketing.Finally,we show that panel dimension of the dataisBio:Prof. Xiaojing Dong is a tenured Associate Professor of Marketing and BusinessAnalytics,and the Faculty Director of Master of Science inBusiness Analytics at SantaClara University.Her research area applies Data Analytics techniques to develop model,examining how marketing actions influence customer behaviors, and therefore providessuggestions on improving Marketing and Business decisions. Her studies span multipleindustries, including social network, online retail, pharmaceutical, travel, among manyothers.Herpapers have appeared intop academic journals in business and top computerscience conferences in Big Data and Al. With participations of ten top companies (Google,Adobe,Palantir,etc.)in theSilicon Valley,Prof.Dong founded a new Master of Science","Bio:Prof. Xiaojing Dong is a tenured Associate Professor of Marketing and BusinessAnalytics,and the Faculty Director of Master of Science inBusiness Analytics at SantaClara University.Her research area applies Data Analytics techniques to develop model,examining how marketing actions influence customer behaviors, and therefore providessuggestions on improving Marketing and Business decisions. Her studies span multipleindustries, including social network, online retail, pharmaceutical, travel, among manyothers.Herpapers have appeared intop academic journals in business and top computerscience conferences in Big Data and Al. With participations of ten top companies (Google,Adobe,Palantir,etc.)in theSilicon Valley,Prof.Dong founded a new Master of Science"
16,"
                        讲座：Semantic-Aware Detection of Missing-Check Bugs in OS Kernels",,Time:Nov2110:00-12:00,Venue:SEIEE3-404,上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=408,"
                    发布时间：2019-11-19","Abstract:Operatingsystem(OS)kernelsplayacritical rolein computer systems, which not only managehardware and system resources,but also provideservices and protection. To safely perform thesecomplicatedand error-pronetasks,Os kernelsrelyon a large number of security checks to validate system states.Unfortunately,security checks are often missing, due to the complexity of Os kernels, which canout-of-bound accesses,andsystemcrashes.Inthistalk,Iwill shareourresearchon automatically detecting missing-check bugs in a semantic-aware manner.1will firsttalkabouthowto automatically identify security checksandthen present asecurity check. Several techniques such as finding indirect-call targets, identifyingcritical variables, and finding semantically-similar code paths are generic and thuscanalsobenefitfutureresearchonbugdetectionandsystemhardening.Intheend,","Bio:Dr. Kangjie Lu is an assistant professor in the Computer Science &EngineeringDepartment of the Universityof Minnesota-TwinCities.His researchinterests include security and privacy, program analysis, and operating systemsHe is particularly interested in automatically finding classes of vulnerabilities,hardening systems while preserving their reliability and efficiency. He won the bestpaper award at ACM CCS 2019. His research results are mainly published attop-tier venues and have led to many important updates in the Linux kernel, theAndroid OS, the FreeBSD kernel, and Apple' s iOS. He received his Ph.D.in"
17,"
                        讲座：Memory-Augmented Neural Networks for Better Discourse Understanding",Speaker: Prof. Tim Baldwin,"Time:13:00-15:00,Nov.27",Venue:SEIEE3-412,上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=410,"
                    发布时间：2019-11-26","Abstract:In this talk, I will present a series of papers on theapplications of memory-augmented neural networkmodels to discourse understanding tasks, focusing ontasks including dialogue state tracking, named entityrecognition with full document history, discourse parsing of web user forum threads,narrative comprehension, and targeted aspect-based sentiment analysis. Timepermitting, I will also give a brief overview of a collaborative project with Bytedance onthe automatic detection of text that has been adversarially-injected into a largerBio:The University of Melbourne, and Associate Dean (Research Training) within theMelbourne School of Engineering. He is also Director of the ARC Centre for CognitiveComputing in Medical Technologies, in partnership with IBM Research. He haspreviously held visiting positions at institutions including Cambridge University, Universityof Washington,TokyoInstituteof Technology,Saarland University,NTTCommunicationScience Laboratories, and National Institute of Informatics.His primary researchfocus ison natural language processing (NLP), including social media analytics, deep learning,","Bio:The University of Melbourne, and Associate Dean (Research Training) within theMelbourne School of Engineering. He is also Director of the ARC Centre for CognitiveComputing in Medical Technologies, in partnership with IBM Research. He haspreviously held visiting positions at institutions including Cambridge University, Universityof Washington,TokyoInstituteof Technology,Saarland University,NTTCommunicationScience Laboratories, and National Institute of Informatics.His primary researchfocus ison natural language processing (NLP), including social media analytics, deep learning,"
18,"
                        讲座：Reinforcement Learning for Intelligent Transportation","Speaker: Zhenhui (Jessie) Li, Pennsylvania State University","Time: 14:00-16:00, Nov.28",Venue:SEIEE3-412,上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=413,"
                    发布时间：2019-11-27","Abstract:Large-scalemobilitydata canbecollected frommobilephones, car navigation systems, road surveillance cameras,and loop sensors. Turning such mobility data into knowledge","Bio:Dr. Zhenhui (Jessie) Li is a tenured associate professor of Information Sciences andTechnologyatthePennsylvaniaStateUniversity.SheisHailefamily earlycareer endowedprofessor.Prior to joining Penn State, she received her PhD degree in Computer Sciencefrom Universityof Illinois Urbana-Champaign in2012,where she was a member of datamining research group.Her research has beenfocused onmining spatial-temporal data withapplications in transportation,ecology,environment, social science,and urban computingShe is a passionate interdisciplinary researcher and has been actively collaborating withcross-domain researchers. She has served as organizing committee or senior programcommittee of many conferences including KDD, ICDM, SDM, CIKM, and SIGSPATIAL. Shehas received NSF CAREER award,junior faculty excellence in research, and George JMcMurtry junior faculty excellence in teaching and learning award. She is currently takingsabbatical leave (2018-2019) at Hangzhou China to conduct city brain research. She islooking for interns to join her research team in Hangzhou. To learn more, please visit herhomepage: https:/faculty.ist.psu.edu/jessieli"
19,"
                        讲座：Lattice-Based Zero-Knowledge Proofs: Shorter and Faster Constructions and Applications",Host:DawuGu,"Time&Venue:SEIEE3-412,","Time&Venue:SEIEE3-412,",上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=414,"
                    发布时间：2019-12-10","Abstract:We devise new techniques for design and analysis ofefficient lattice-based zero-knowledge proofs (ZKP). First, weintroduce one-shot proof techniques fornon-linearpolynomialrelations of degree k≥2, wherethe protocol achieves a negligiblesoundness error in a single execution, and thus performs significantly better in both","Bio:Ron Steinfeld received his Ph.D. degree in Computer Science in 2oo3 from MonashUniversity,Australia. Since 2015, he is a Senior Lecturer at the Faculty of InformationTechnology,Monash University,Australia.Following his Ph.D.Ron worked as a postdoctoralresearch fellow in cryptography and information security at Macquarie University,Australia,holding the positions of Macquarie University Research Fellow incryptography and informationsecurity (2007-2009), and ARC Australian Research Fellow in cryptography and informationsecurity (2009-2012).Ron completedhisARCResearchFellowship at Monash University(2012-2014). His main research interests are in the design and analysis of cryptographicalgorithms and protocols,in particular in the areas of lattice-based cryptography and securecomputationprotocols.Hehas over 18 years of research experience in cryptography andinformation security.Hehaspublished morethan6o researchpapers in international refereedconferences and journals,more than 10 of whichhave each been cited over 100 times.Hereceived the ASIACRYPT 2015 best paper award.He has served on the technical ProgramCommittee of numerous international conferences in cryptography, is an editorial boardmember of the journal 'Designs Codes and Cryptography' , and consults in cryptography"
20,"
                        讲座：Smart Grid Intelligence","Speaker:Prof, Ganesh KumarVenayagamoorthy","Time:10:30Dec 10,2019","Venue:Room414,SEIEE-3",上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=415,"
                    发布时间：2019-12-10","Abstract:The modern power and energy system, referred to as the‘smart grid'is a growingcomplex system.Its operations and control require intelligence to efficiently maximizethe utilization of variable power and energy sources (including renewable energysources) and manage the challenges of bidirectional power flows, uncertainties inforecasting and real-time availability of generation, loads, energy storage and otheroperational resources.This keynote address will define smart grid intelligence.The potentials and promises ofComputational Intelligence (Cl) to give birth to this intelligencein smart grids will be presented including examples","Bio:Ganesh KumarVenayagamoorthy (S'91-M'97-SM'02)is theDuke Energy Distinguished Professor ofPowerEngineeringand Professorof Electrical andComputer Engineering andAutomotive Engineering at ClemsonScience and Technology (Missouri S&T), Rolla, USA from 2002 to 2011 and Senior Lecturer in Department of"
21,"
                        讲座：Information Geometry and Statistical Mirror Symmetry","Speaker:Prof.Jun Zhang,The University of Michigan,Ann Arbor","Time:10:00Dec18th,2019","Venue:Room412,SEIEE-3",上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=419,"
                    发布时间：2019-12-13","Abstract:Information Geometry is the differential geometric study of themanifold of probability models, and promises to be a unifyinggeometricframeworkforinvestigatingstatisticalinference,information theory,machine learning,etc.Central to such manifolds are""divergencefunctions”(in place of distance) for measuring proximity of two points, for instance Kullback-Leiblerdivergence,Bregman divergence,etc.Divergencefunctionsare tied togeneralized entropy (forinstance,Tsallis entropy,Renyientropy)andcross-entropyfunctionswidelyused inmachinelearning and information sciences. It turns out that divergence functions enjoy pleasantgeometric properties- they induce what is called “statistical structure"" on a manifold M: aRiemannian metric g together with a pair of torsion-free affine connections D, D*, such that Dand D* are both Codazzi coupled to g while being conjugate to each other. Divergencefunctions also induce a natural symplectic structure on the product manifold MxM for which thediagonal is M is both a statistical manifold and Lagrange submanifold. We have characterizedthe interaction of statistical structures and (para-)complex structure, generalizing the dually-flatHessian geometry. Recently, we show there is a kind of ""Statistical Mirror Symmetry on thetangent manifold of probability models,in surprising link to mirror symmetryextensively studied",Bio:张俊，美国密西根大学心理学系终身教授、数学系终身教授，美国心理学协会(APS)会士，心理规律协会(Psychonomcis)会士。现任《信息几何学》InformationGeometry杂志创刊联合主编。历任全美脑与行为科学协会联盟（FABBS）执行董事，数学心理学学会(SocietyforMathematicalPsychology)副主席、主席、执行委员会委员，《数学心理学》Journal ofMathematicalPsychology杂志副主编。1985年获得复旦大学理论物理学士，1992年获得加州大学伯克利分校神经生物学博士，并获聘于密西根大学任终身教职。在学术休假年度，张俊教授在澳洲墨尔本大学、法国科学院马赛所、加拿大滑铁卢大学、日本理研脑科学研究所、英国剑桥大学、美国哈佛大学等担任客座研究员、访问教授等席位。张俊教授主持的M3实验室（“Mind，Machine，Mathematics”）长期开展认知建模、机器学习、人机界面、类脑人工智能
22,"
                        讲座：Learning Visual Representation for Image Recognition/Generation",by Prof. Serge Belongie and Prof. Kilian Q. Weinberger. Her interest spans,时间：2020年1月2日下午1：30,地点：电院3号楼404,上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=422,"
                    发布时间：2019-12-31","Abstract:Visual Representation has received a lot ofattention from both academia and industry in recentyears. This talk will briefly cover our previousresearch targeting at digging out the relationshipbetween low-level visual representation and high-level recognition tasks,as well as our current research focusing on a new normalization methodwhich could be applied to most generative models to help preserve ortransfer structural information. During the talk, I will present AOD-Net andbridge the gap between theory and practice, in realizing an efficient model","Bio:by Prof. Serge Belongie and Prof. Kilian Q. Weinberger. Her interest spansin Machine Learning, Computer Vision and Multimedia Art. In detail, she isgenerallyinterestedinvisualrepresentationlearning andgenerative/recognition models. Currently,Shefocusesmoreonfundamental problems of generative/recognition models using deep"
23,"
                        讲座：Towards End-to-End Speech Synthesis","Speaker: Yu Zhang, Research scientist at Google",Time:14:00-16:00Jan15th.2020,"Venue:Room 412,SEIEE-3",上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=423,"
                    发布时间：2019-12-31","Abstract:Neural network -based system for text-to-speech (TTS) synthesis that is able to generate speech audio in the voiceof different speakers and learn to model a large range of acousticexpressiveness, such as speed and speaking style. Building on thesesuccesses, I will describe several recent results demonstrating sequence-to-sequence model basedTTSmodel opensnewdirectionforthe speechsynthesis community, including multi-speaker, global/local prosody control","Bio:Yu Zhang is a research scientist at Google, where his researchfocuses on improving ML model performance for various speechprocessing applications. Currently, he is working on end-to-end ASR andTTS. Before coming to Google, he completed his Ph.D. at MassachusettsInstitute of Technology, where his advisor was James Glass. Most of hisPh.D. work has been focused on automatic speech recognition using"
24,"
                        讲座：数字经济的基础设施",,时间：7月28日（周二）上午10:00-11：00,地点：电信学院3-412会议室,上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=437,"
                    发布时间：2020-07-27",,
25,"
                        讲座：Building Efficient Systems for Deep Learning on Graphs","Speaker: Minjie Wang, Ph.D., New York University","Time: 2:00pm-3:00pm Oct. 13, Tuesday","Venue: Room 412,SEIEE building #3",上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=439,"
                    发布时间：2020-10-09","Abstract:Advancing research in the emerging field of deep graph learning requires new tools to supporttensor computation over graphs. In this talk, I will present the design principles and implementationof Deep Graph Library (DGL). DGL distills the computational patterns of GNNs into a few gener-alized sparse tensor operations suitable for extensive parallelization. By advocating graph as thecentral programming abstraction, DGL can optimize them transparently. By cautiously adopting aframework-neutral design, DGL allows users to easily port and leverage the existing componentsacross multiple deep learning frameworks. The evaluation shows that DGL has little overhead forsmall scales and significantly outperforms other popular GNN-oriented frameworks in both speedand memory efficiency when workloads scale up. DGL has been open-sourced and recognizedwidely by the community. I will then introduce two follow-up works based on DGL: 1) FeatGrapha flexible and efficient kermnel backend for graph neural network and 2) DGL-KE  a distributed","Bio:Minjie Wang is an applied scientist in Amazon Shanghai AI Lab. He obtained his Ph.D. degreefrom New York University. His research focus is the interdisciplinary area of machine leaming andsystem including building deep learming systems with high usability and performance, applyingmachine learning in system optimization. He is also an open-source enthusiast; founder and major"
26,"
                        讲座：Efficient Zero Knowledge Proof Protocols and Their Applications to Decision Tree Predictions and Accuracy",Speaker:JiahengZhang,"Time:2pm,November4,2020",Venue:SEIEE3-414,上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=440,"
                    发布时间：2020-11-03","Abstract:We present two efficient zero knowledge proofs protocols with optimalprover computation, Libra and Virgo. Libra has linear prover time, logarithmic ver-ification time and proof size. It needs a universal trusted setup. Virgo removes thetrusted setup of Libra and remains roughly the same complexity by a new trans-parentzero knowledge verifiable polynomial delegation scheme withlogarithmicproof size and verification time. In addition, we initiate the study of zero knowl-edge machine learning and propose protocols for zero knowledge decision treepredictions and accuracy tests(ZKDT). The protocols allow the owner of a deci-sion tree model to convince others that the model computes a prediction on a datasample, or achieves a certain accuracy on a public dataset, without leaking any","Bio: Jiaheng is a third-year Ph.D. student in Computer Science at UCBerkeley, where he is very fortunate to be advised by Prof. Dawn Song. He alsoworks closely with Prof. Yupeng Zhang. And he is a member of RiSE Lab, Initia-tive for Cryptocurrencies&Contracts Lab(IC3) and Berkeley Al Research(BAIR),His research interests lie in computer security and cryptography, especially ze-ro-knowledge proofs and their applications on blockchains and machine learningmodels. Prior to coming to Berkeley, he received his Bachelor's degree in ACMHonors Class of Shanghai Jiao Tong University, where he worked under the su-pervision of Prof. Xiaotie Deng. During his undergraduate, he was also a research"
27,"
                        讲座：On Computational Shortcuts for Information-theoretic PIR",Speaker: Matthew M.Hong,"Time:3pm,November4,2020",Venue:SEIEE3-414,上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=441,"
                    发布时间：2020-11-03","Abstract:Informationtheoretic private information retrieval (PiR) schemes have at-tractive concrete efficiency features. However, in the standard PiR model, thecomputational complexity of the servers must scale linearly with the databasesizeWe study the possibility of bypassing this limitation in the case where the da-tabase is a truth table of a ""simple"" function, such as a union of (multi-dimen-sional) intervals or convex shapes, a decision tree, or a DNF formula. This ques-tion is motivated by the goal of obtaining lightweight homomorphic secret sharing(HSS)schemesandsecuremultipartycomputation (MPC)protocolsforthecor-responding families.We obtain both positive and negative results. For""first-gen-eration""PiR schemes based on Reed-Muller codes, we obtain computationalshortcuts for the above function families, with the exception of DNF formulas forwhich we show a (conditional) hardness result.For """"third-generation""PiRschemes based on matching vectors, we obtain stronger hardness results thatapply to all of the above familiesOur positive results yield new informationtheoretic HSS schemes and MPC",Speaker: Matthew M.Hong
28,"
                        讲座：Bridging the Gap Between the AI Algorithms and IOT Devices",Speaker: Lerong Chen,Time: 3:30pm-4:30pm,"Venue: Room 517A,SEIEEbuilding #3",上海交通大学,https://www.cs.sjtu.edu.cn/NewNoticeDetail.aspx?id=442,"
                    发布时间：2020-11-03",Abstract:近年来，5G、人工智能算法的不断发展，嵌入式设备的激增带来了智能物联网（AI+IOT)的愿景。在这个世界里，我们的日常生活中接触到的设备将会越来越多的具有计算、传感和通信功能，这些功能将改变人与物之间的交互IOT设备通常是计算、内存资源有限的低端系统，而人工智能算法，尤其是深度神经网络模型往往对资源有着较高的需求。这一矛盾是AI+IOT发展的瓶颈，我将从工业界的角度出发，介绍TVM、TensorflowLite、MindSpore等框架如何实现在IOT设备上部署AI算法，以及在实际部署深度神经网络遇,Bio:
